epoch_index,hour_ts,tx_shard,avg_tps
3062.0,2025-03-18 04:00:00.000000 UTC,2,7.7229786051681026
3062.0,2025-03-18 04:00:00.000000 UTC,4,10.890803000833564
3062.0,2025-03-18 04:00:00.000000 UTC,5,9.4167824395665463
3062.0,2025-03-18 04:00:00.000000 UTC,6,12.201722700750208
3062.0,2025-03-18 04:00:00.000000 UTC,7,6.6168380105584887
3062.0,2025-03-18 05:00:00.000000 UTC,0,18.106140594609613
3062.0,2025-03-18 05:00:00.000000 UTC,1,0.18366212836899137
3062.0,2025-03-18 05:00:00.000000 UTC,2,10.146151708808002
3062.0,2025-03-18 05:00:00.000000 UTC,4,14.36899138649625
3062.0,2025-03-18 05:00:00.000000 UTC,5,12.90580716865796
3062.0,2025-03-18 05:00:00.000000 UTC,6,11.787996665740483
3062.0,2025-03-18 05:00:00.000000 UTC,7,11.557099194220617
3062.0,2025-03-18 06:00:00.000000 UTC,0,18.438021122846024
3062.0,2025-03-18 06:00:00.000000 UTC,1,0.3140633685380767
3062.0,2025-03-18 06:00:00.000000 UTC,2,10.76792662590328
3062.0,2025-03-18 06:00:00.000000 UTC,4,15.561700944969427
3062.0,2025-03-18 06:00:00.000000 UTC,5,14.383824346859367
3062.0,2025-03-18 06:00:00.000000 UTC,6,10.249861033907726
3062.0,2025-03-18 06:00:00.000000 UTC,7,8.3585325180655925
3062.0,2025-03-18 07:00:00.000000 UTC,0,18.254515143095304
3062.0,2025-03-18 07:00:00.000000 UTC,1,1.1836621283689914
3062.0,2025-03-18 07:00:00.000000 UTC,2,10.151430953042512
3062.0,2025-03-18 07:00:00.000000 UTC,4,14.379549874965267
3062.0,2025-03-18 07:00:00.000000 UTC,5,14.086690747429842
3062.0,2025-03-18 07:00:00.000000 UTC,6,10.3828841344818
3062.0,2025-03-18 07:00:00.000000 UTC,7,8.5104195609891633
3062.0,2025-03-18 08:00:00.000000 UTC,0,20.569760978321291
3062.0,2025-03-18 08:00:00.000000 UTC,1,0.38882712618121179
3062.0,2025-03-18 08:00:00.000000 UTC,2,11.275708727070596
3062.0,2025-03-18 08:00:00.000000 UTC,4,16.4952751528627
3062.0,2025-03-18 08:00:00.000000 UTC,5,15.628126737076153
3062.0,2025-03-18 08:00:00.000000 UTC,6,10.609505280711506
3062.0,2025-03-18 08:00:00.000000 UTC,7,11.089494163424124
3062.0,2025-03-18 09:00:00.000000 UTC,0,24.074485825458588
3062.0,2025-03-18 09:00:00.000000 UTC,1,0.21011673151750973
3062.0,2025-03-18 09:00:00.000000 UTC,2,10.459421901056142
3062.0,2025-03-18 09:00:00.000000 UTC,4,16.012784880489161
3062.0,2025-03-18 09:00:00.000000 UTC,5,15.234852695942189
3062.0,2025-03-18 09:00:00.000000 UTC,6,10.418010005558644
3062.0,2025-03-18 09:00:00.000000 UTC,7,12.561145080600333
3062.0,2025-03-18 10:00:00.000000 UTC,0,21.0705751597666
3062.0,2025-03-18 10:00:00.000000 UTC,1,0.24923589886079467
3062.0,2025-03-18 10:00:00.000000 UTC,2,8.8030008335648784
3062.0,2025-03-18 10:00:00.000000 UTC,4,12.64434565156988
3062.0,2025-03-18 10:00:00.000000 UTC,5,11.177549319255348
3062.0,2025-03-18 10:00:00.000000 UTC,6,9.3223117532647954
3062.0,2025-03-18 10:00:00.000000 UTC,7,11.826618505140317
3062.0,2025-03-18 11:00:00.000000 UTC,0,18.249305169538633
3062.0,2025-03-18 11:00:00.000000 UTC,1,0.20261256253474152
3062.0,2025-03-18 11:00:00.000000 UTC,2,7.5113952195664258
3062.0,2025-03-18 11:00:00.000000 UTC,4,10.562812673707615
3062.0,2025-03-18 11:00:00.000000 UTC,5,9.0202890494719288
3062.0,2025-03-18 11:00:00.000000 UTC,6,8.908560311284047
3062.0,2025-03-18 11:00:00.000000 UTC,7,11.149249583101723
3062.0,2025-03-18 12:00:00.000000 UTC,0,17.680933852140079
3062.0,2025-03-18 12:00:00.000000 UTC,1,0.22623679822123402
3062.0,2025-03-18 12:00:00.000000 UTC,2,7.5311284046692606
3062.0,2025-03-18 12:00:00.000000 UTC,4,10.679266259032795
3062.0,2025-03-18 12:00:00.000000 UTC,5,9.4130072262367985
3062.0,2025-03-18 12:00:00.000000 UTC,6,8.9769316286826015
3062.0,2025-03-18 12:00:00.000000 UTC,7,11.19899944413563
3062.0,2025-03-18 13:00:00.000000 UTC,0,18.890803000833564
3062.0,2025-03-18 13:00:00.000000 UTC,1,0.24617949430397332
3062.0,2025-03-18 13:00:00.000000 UTC,2,8.2295081967213122
3062.0,2025-03-18 13:00:00.000000 UTC,4,11.852736871353153
3062.0,2025-03-18 13:00:00.000000 UTC,5,10.193664906918588
3062.0,2025-03-18 13:00:00.000000 UTC,6,9.7202000555709915
3062.0,2025-03-18 13:00:00.000000 UTC,7,11.068630175048625
3062.0,2025-03-18 14:00:00.000000 UTC,0,16.519733185102837
3062.0,2025-03-18 14:00:00.000000 UTC,1,0.24874930516953864
3062.0,2025-03-18 14:00:00.000000 UTC,2,8.74485825458588
3062.0,2025-03-18 14:00:00.000000 UTC,4,12.430239021678711
3062.0,2025-03-18 14:00:00.000000 UTC,5,9.9849916620344636
3062.0,2025-03-18 14:00:00.000000 UTC,6,10.352140077821012
3062.0,2025-03-18 14:00:00.000000 UTC,7,11.848804891606449
3062.0,2025-03-18 15:00:00.000000 UTC,0,18.255113024757804
3062.0,2025-03-18 15:00:00.000000 UTC,1,0.22927879440258342
